rcvTow,week,gnssId,svId,sigId,prMes,cpMes,doMes,cno,trkStat
112640.995000,2414,0,4,0,21541986.290,113203900.979,-2503.935,41,15
112640.995000,2414,0,6,0,19295760.587,101399905.551,44.580,45,15
112640.995000,2414,0,9,0,19308728.769,101468054.160,-834.204,47,7
112640.995000,2414,0,17,0,21054859.827,110644034.508,-3112.371,44,15
112640.995000,2414,0,19,0,18820606.986,98902956.643,-2107.206,46,7
112640.995000,2414,0,21,0,20647245.074,108502004.039,2046.595,38,15
112640.995000,2414,3,6,0,35372011.016,184191342.225,-12.175,40,15
112640.995000,2414,3,7,0,34612001.773,180233775.336,-467.009,41,15
112640.995000,2414,3,8,0,36382345.893,189452422.210,127.063,37,7
112640.995000,2414,3,12,0,20870004.464,108675588.924,1760.809,39,15
